IDfg,Season,Name,Team,Pos,G,GS,Inn,PO,A,E,FE,TE,DP,DPS,DPT,DPF,Scp,SB,CS,PB,WP,FP,TZ,rSB,rGDP,rARM,rGFP,rPM,DRS,BIZ,Plays,RZR,OOZ,TZL,FSR,ARM,DPR,RngR,ErrR,UZR,UZR/150,CPP,RPP,Def,0%,# 0%,1-10%,# 1-10%,10-40%,# 10-40%,40-60%,# 40-60%,60-90%,# 60-90%,90-100%,# 90-100%,rSZ,rCERA,rTS,FRM,OAA,Range
31349,2025,Victor Scott II,STL,CF,110,103,900.1,266,3,4,3,1,0,3,0,0,,,,,,0.985,,,,-1.0,-2,14.0,11,190.0,178.0,0.937,88.0,,,,,,,,,,,7.0,,,,,,,,,,,,,0,,,,14.0,13.0
13510,2025,Jose Ramirez,CLE,3B,97,96,836.1,55,179,9,6,2,13,15,0,1,,,,,,0.963,,,0.0,,-1,4.0,4,174.0,129.0,0.741,44.0,,,,,,,,,,,6.9,,,,,,,,,,,,,0,,,,6.0,5.0
23772,2025,Wilyer Abreu,BOS,RF,94,85,762.1,193,6,5,4,1,0,3,0,0,,,,,,0.975,,,,5.0,-1,10.0,14,128.0,119.0,0.93,75.0,,,,,,,,,,,6.7,,,,,,,,,,,,,0,,,,9.0,8.0
21614,2025,Kyle Isbel,KCR,CF,104,91,813.0,256,2,1,0,1,0,1,0,0,,,,,,0.996,,,,-1.0,-1,9.0,7,192.0,185.0,0.964,71.0,,,,,,,,,,,6.6,,,,,,,,,,,,,0,,,,9.0,8.0
12533,2025,Marcus Semien,TEX,2B,119,119,1046.1,177,285,2,1,1,61,21,42,3,,,,,,0.996,,,0.0,,1,4.0,5,221.0,176.0,0.796,65.0,,,,,,,,,,,6.1,,,,,,,,,,,,,0,,,,7.0,5.0
13624,2025,Corey Seager,TEX,SS,82,82,710.0,104,192,4,3,1,49,30,19,2,,,,,,0.987,,,1.0,,1,12.0,14,135.0,110.0,0.815,62.0,,,,,,,,,,,5.9,,,,,,,,,,,,,0,,,,4.0,3.0
20308,2025,Jake Meyers,HOU,CF,89,80,713.2,186,1,1,1,0,0,0,0,0,,,,,,0.995,,,,-3.0,-1,10.0,6,142.0,131.0,0.923,56.0,,,,,,,,,,,5.6,,,,,,,,,,,,,0,,,,9.0,8.0
23697,2025,Julio Rodriguez,SEA,CF,117,116,1046.1,324,4,3,3,0,0,1,0,0,,,,,,0.991,,,,2.0,2,5.0,9,242.0,231.0,0.955,93.0,,,,,,,,,,,5.4,,,,,,,,,,,,,0,,,,8.0,7.0
22799,2025,Geraldo Perdomo,ARI,SS,118,117,1040.0,152,271,10,4,6,57,30,27,4,,,,,,0.977,,,-2.0,,0,-2.0,-4,191.0,150.0,0.785,85.0,,,,,,,,,,,5.3,,,,,,,,,,,,,0,,,,2.0,1.0
13675,2025,Tyrone Taylor,NYM,CF,97,77,718.0,215,7,2,2,0,0,2,0,0,,,,,,0.991,,,,3.0,0,5.0,8,174.0,168.0,0.966,46.0,,,,,,,,,,,5.2,,,,,,,,,,,,,0,,,,3.0,3.0
26294,2025,Bryson Stott,PHI,2B,104,94,850.0,176,231,2,2,0,41,18,25,4,,,,,,0.995,,,-5.0,,0,3.0,-2,185.0,150.0,0.811,45.0,,,,,,,,,,,5.1,,,,,,,,,,,,,0,,,,5.0,4.0
13611,2025,Mookie Betts,LAD,SS,107,107,920.1,109,237,6,2,4,41,22,20,0,,,,,,0.983,,,0.0,,1,10.0,11,178.0,135.0,0.758,82.0,,,,,,,,,,,5.1,,,,,,,,,,,,,0,,,,2.0,1.0
11739,2025,J.T. Realmuto,PHI,C,97,97,852.1,897,27,4,0,3,0,7,0,3,,52.0,21.0,1.0,23.0,0.996,,0.0,,,1,,-3,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,-5,2.0,,-4.6,,
26299,2025,Josh Jung,TEX,3B,87,85,753.0,56,158,4,3,1,13,13,0,0,,,,,,0.982,,,-1.0,,0,-2.0,-2,170.0,127.0,0.747,28.0,,,,,,,,,,,4.6,,,,,,,,,,,,,0,,,,3.0,3.0
21865,2025,Bo Naylor,CLE,C,86,77,686.0,665,45,5,1,4,1,3,2,3,,58.0,19.0,3.0,22.0,0.993,,-1.0,,,0,,-2,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,-1,-1.0,,-1.8,,
18314,2025,Dansby Swanson,CHC,SS,115,115,1006.2,167,261,7,2,5,56,33,24,3,,,,,,0.984,,,1.0,,1,2.0,4,214.0,171.0,0.799,67.0,,,,,,,,,,,4.4,,,,,,,,,,,,,0,,,,1.0,0.0
9777,2025,Nolan Arenado,STL,3B,92,92,793.2,66,183,3,1,1,20,20,1,1,,,,,,0.988,,,0.0,,0,5.0,5,190.0,141.0,0.742,37.0,,,,,,,,,,,3.8,,,,,,,,,,,,,0,,,,2.0,2.0
29695,2025,Matt McLain,CIN,2B,103,98,873.1,144,209,6,4,2,37,14,25,1,,,,,,0.983,,,1.0,,0,-4.0,-3,181.0,127.0,0.702,52.0,,,,,,,,,,,3.5,,,,,,,,,,,,,0,,,,3.0,3.0
22458,2025,Taylor Walls,TBR,SS,94,77,720.2,125,234,5,4,1,48,30,23,4,,,,,,0.986,,,1.0,,1,15.0,17,155.0,114.0,0.735,94.0,,,,,,,,,,,3.4,,,,,,,,,,,,,0,,,,1.0,1.0
29646,2025,Caleb Durbin,MIL,3B,91,81,732.1,57,134,3,2,1,11,12,0,1,,,,,,0.985,,,0.0,,0,7.0,8,137.0,97.0,0.708,36.0,,,,,,,,,,,3.4,,,,,,,,,,,,,0,,,,2.0,1.0
24610,2025,Steven Kwan,CLE,LF,109,109,953.2,225,10,7,0,7,0,1,0,0,,,,,,0.971,,,,6.0,4,5.0,15,169.0,154.0,0.911,71.0,,,,,,,,,,,3.2,,,,,,,,,,,,,0,,,,0.0,0.0
24816,2025,Andy Pages,LAD,CF,83,80,664.0,186,4,5,4,1,0,1,0,0,,,,,,0.974,,,,4.0,0,-3.0,1,146.0,134.0,0.918,52.0,,,,,,,,,,,3.1,,,,,,,,,,,,,0,,,,4.0,4.0
25816,2025,Shea Langeliers,ATH,C,79,76,672.2,640,27,5,0,4,1,2,1,0,,75.0,14.0,6.0,12.0,0.993,,-3.0,,,1,,-11,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,-3,-6.0,,-4.3,,
25878,2025,Corbin Carroll,ARI,RF,97,92,829.1,207,7,1,0,1,0,2,0,0,,,,,,0.995,,,,-3.0,0,4.0,1,144.0,125.0,0.868,82.0,,,,,,,,,,,2.7,,,,,,,,,,,,,0,,,,7.0,7.0
21618,2025,Alec Bohm,PHI,3B,80,80,693.2,41,159,3,2,1,11,11,0,0,,,,,,0.985,,,-1.0,,-1,2.0,-2,169.0,128.0,0.757,29.0,,,,,,,,,,,2.6,,,,,,,,,,,,,0,,,,1.0,1.0
20043,2025,Luis Robert Jr.,CHW,CF,93,90,767.2,250,2,1,1,0,0,0,0,0,,,,,,0.996,,,,-1.0,-2,1.0,-2,193.0,181.0,0.938,69.0,,,,,,,,,,,2.5,,,,,,,,,,,,,0,,,,4.0,4.0
33197,2025,Benjamin Williamson,SEA,3B,85,79,703.0,62,137,3,2,1,9,9,0,0,,,,,,0.985,,,-1.0,,1,6.0,8,130.0,96.0,0.738,41.0,,,,,,,,,,,2.2,,,,,,,,,,,,,0,,,,0.0,0.0
24679,2025,Brendan Donovan,STL,2B,90,81,720.2,117,236,3,1,2,36,16,22,4,,,,,,0.992,,,-1.0,,0,1.0,0,207.0,147.0,0.71,66.0,,,,,,,,,,,2.2,,,,,,,,,,,,,0,,,,1.0,1.0
21711,2025,Oneil Cruz,PIT,CF,100,99,873.1,246,6,9,7,2,0,2,0,0,,,,,,0.966,,,,2.0,-2,-8.0,-8,198.0,183.0,0.924,63.0,,,,,,,,,,,2.1,,,,,,,,,,,,,0,,,,1.0,1.0
29490,2025,Jackson Merrill,SDP,CF,86,86,761.1,224,7,0,0,0,0,1,0,0,,,,,,1.0,,,,0.0,3,-1.0,2,172.0,167.0,0.971,57.0,,,,,,,,,,,2.1,,,,,,,,,,,,,0,,,,3.0,3.0
15640,2025,Aaron Judge,NYY,RF,80,80,692.1,165,1,1,1,0,0,0,0,0,,,,,,0.994,,,,0.0,0,2.0,2,119.0,110.0,0.924,55.0,,,,,,,,,,,2.0,,,,,,,,,,,,,0,,,,2.0,2.0
29622,2025,Sal Frelick,MIL,RF,98,92,795.2,201,8,1,1,0,0,2,0,0,,,,,,0.995,,,,2.0,1,4.0,7,149.0,136.0,0.913,65.0,,,,,,,,,,,1.9,,,,,,,,,,,,,0,,,,5.0,4.0
18036,2025,Jake Cronenworth,SDP,2B,83,82,714.1,110,168,7,3,3,38,10,28,3,,,,,,0.975,,,0.0,,1,-5.0,-4,145.0,111.0,0.766,30.0,,,,,,,,,,,1.7,,,,,,,,,,,,,0,,,,0.0,0.0
26668,2025,Elly De La Cruz,CIN,SS,117,116,1016.2,159,245,16,7,9,45,34,11,6,,,,,,0.962,,,2.0,,-1,-6.0,-5,218.0,159.0,0.729,73.0,,,,,,,,,,,1.6,,,,,,,,,,,,,0,,,,-3.0,-2.0
18360,2025,Austin Riley,ATL,3B,102,102,888.2,55,166,11,7,4,8,11,0,4,,,,,,0.953,,,-1.0,,0,-2.0,-1,167.0,110.0,0.659,47.0,,,,,,,,,,,1.6,,,,,,,,,,,,,0,,,,-1.0,-1.0
16556,2025,Ozzie Albies,ATL,2B,118,118,1044.2,154,284,2,2,0,44,22,23,4,,,,,,0.995,,,0.0,,1,1.0,2,232.0,194.0,0.836,68.0,,,,,,,,,,,1.5,,,,,,,,,,,,,0,,,,0.0,0.0
25931,2025,Michael Harris II,ATL,CF,116,113,1004.2,277,1,0,0,0,0,0,0,0,,,,,,1.0,,,,0.0,1,7.0,8,204.0,197.0,0.966,80.0,,,,,,,,,,,1.5,,,,,,,,,,,,,0,,,,5.0,4.0
14162,2025,Carlos Correa,- - -,SS,94,92,764.2,119,179,9,3,6,27,14,15,1,,,,,,0.971,,,-1.0,,0,-10.0,-11,161.0,112.0,0.696,51.0,,,,,,,,,,,1.5,,,,,,,,,,,,,0,,,,-2.0,-1.0
19197,2025,Will Smith,LAD,C,85,82,740.1,747,30,4,0,3,2,2,1,4,,60.0,20.0,2.0,40.0,0.995,,0.0,,,-1,,-6,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,-5,0.0,,-5.8,,
28163,2025,Junior Caminero,TBR,3B,108,107,920.2,65,172,11,8,3,19,19,0,1,,,,,,0.956,,,1.0,,-2,-2.0,-3,186.0,136.0,0.731,32.0,,,,,,,,,,,1.2,,,,,,,,,,,,,0,,,,-2.0,-1.0
16512,2025,Isiah Kiner-Falefa,PIT,SS,94,93,815.0,122,207,6,1,5,30,15,14,4,,,,,,0.982,,,-2.0,,-2,5.0,1,168.0,135.0,0.804,56.0,,,,,,,,,,,1.1,,,,,,,,,,,,,0,,,,-3.0,-2.0
